customer_id,age,gender,income,region,tenure_years,received_campaign,spend_last_month,channel,product_category,responded,spend_this_month,is_high_value,days_since_last_purchase,credit_score,customer_segment
CUST00001,56,Female,111974,South,0.6,0,186.92,Email,Credit Card,0,186.92,0,149,672,1
CUST00002,69,Male,42291,West,1.7,0,521.98,App Notification,Credit Card,0,521.98,0,82,728,2
CUST00003,46,Female,70585,South,17.3,1,96.89,Phone,Insurance,0,96.89,0,1,631,0
CUST00004,32,Male,78626,West,1.9,1,242.85,SMS,Insurance,1,327.1,0,10,722,0
CUST00005,60,Female,64871,South,0.5,0,648.88,SMS,Credit Card,0,648.88,0,147,673,3
CUST00006,25,Other,43258,West,6.1,1,33.06,App Notification,Credit Card,0,33.06,0,298,779,2
CUST00007,38,Male,95142,North,6.6,0,397.13,App Notification,Insurance,0,397.13,1,94,745,1
CUST00008,56,Male,76738,East,1.7,1,109.19,Phone,Insurance,0,109.19,0,297,706,0
CUST00009,36,Male,44662,East,1.8,0,263.67,Phone,Insurance,0,263.67,0,233,697,2
CUST00010,40,Male,78773,West,3.2,0,69.5,Phone,None,0,69.5,0,148,674,0
CUST00011,28,Female,104031,North,0.1,1,81.29,Phone,None,1,213.81,0,124,566,1
CUST00012,28,Female,69273,West,7.8,0,5.5,SMS,Credit Card,0,5.5,0,268,705,3
CUST00013,41,Male,69955,West,1.9,0,710.9,App Notification,None,0,710.9,0,248,756,3
CUST00014,53,Male,101360,North,9.6,1,335.81,Email,Loans,0,335.81,1,98,652,1
CUST00015,57,Male,50592,South,8.1,1,19.73,App Notification,Credit Card,0,19.73,0,106,658,3
CUST00016,41,Female,104551,South,5.4,1,1523.73,App Notification,Loans,0,1523.73,1,166,705,1
CUST00017,20,Male,89458,North,2.0,1,185.79,Phone,Savings,1,277.72,0,113,636,0
CUST00018,39,Female,51515,West,3.6,0,384.46,Phone,Loans,0,384.46,0,58,663,3
CUST00019,19,Female,56634,East,2.9,1,13.8,SMS,Savings,0,13.8,0,246,677,3
CUST00020,41,Female,59503,West,2.1,1,98.68,Phone,Loans,0,98.68,0,267,706,3
CUST00021,61,Male,33328,South,9.4,1,221.52,SMS,Savings,0,221.52,0,339,803,2
CUST00022,47,Female,75209,North,3.3,1,22.51,App Notification,Savings,1,130.35,0,176,697,0
CUST00023,55,Male,52421,North,8.9,1,134.24,App Notification,Credit Card,0,134.24,0,296,719,3
CUST00024,19,Male,75931,North,0.6,1,116.92,App Notification,Insurance,0,116.92,0,114,696,0
CUST00025,38,Female,44181,South,0.8,0,48.68,SMS,Insurance,0,48.68,0,94,714,2
CUST00026,50,Female,88460,West,18.9,0,71.41,SMS,Credit Card,0,71.41,0,250,707,0
CUST00027,29,Male,84752,North,4.4,1,682.97,SMS,Savings,0,682.97,0,355,748,0
CUST00028,39,Male,55882,East,3.6,1,68.12,Phone,Insurance,0,68.12,0,68,784,3
