customer_id,age,gender,income,region,tenure_years,received_campaign,spend_last_month,channel,product_category,responded,spend_this_month,is_high_value,days_since_last_purchase,credit_score,customer_segment
CUST00001,56,Female,111974,North,4.5,0,616.04,Email,Loans,1,771.72,0,156,664,1
CUST00002,69,Male,42291,South,5.7,0,171.21,Email,Loans,0,171.21,0,185,732,2
CUST00003,46,Female,70585,North,5.7,0,280.33,SMS,Loans,0,280.33,0,41,715,0
CUST00004,32,Male,78626,East,9.3,0,143.79,SMS,Loans,0,143.79,0,201,725,0
CUST00005,60,Female,64871,South,0.0,1,67.43,Email,Loans,1,221.13,0,50,719,3
CUST00006,25,Other,43258,West,1.2,1,382.44,Email,Loans,0,382.44,0,90,665,2
CUST00007,38,Male,95142,South,5.5,1,181.68,Phone,Loans,0,181.68,1,237,696,1
CUST00008,56,Male,76738,West,11.3,1,173.21,SMS,Loans,1,225.37,0,346,607,0
CUST00009,36,Male,44662,West,5.8,0,215.25,SMS,Insurance,0,215.25,0,325,674,2
CUST00010,40,Male,78773,West,2.7,1,387.59,App Notification,Savings,0,387.59,0,337,687,0
CUST00011,28,Female,104031,North,2.2,1,263.28,Phone,Insurance,1,404.18,0,282,731,1
CUST00012,28,Female,69273,East,6.7,1,47.43,SMS,Savings,1,193.33,0,154,725,3
CUST00013,41,Male,69955,South,6.8,1,125.78,App Notification,Credit Card,0,125.78,0,363,662,3
CUST00014,53,Male,101360,South,4.7,0,785.41,Phone,Credit Card,1,827.61,0,180,661,1
CUST00015,57,Male,50592,South,1.7,0,161.74,App Notification,Insurance,0,161.74,0,88,765,3
CUST00016,41,Female,104551,West,13.0,0,556.92,Phone,Loans,1,686.85,1,105,685,1
CUST00017,20,Male,89458,South,4.0,1,335.72,Phone,Loans,0,335.72,0,73,705,0
CUST00018,39,Female,51515,East,7.8,0,219.34,Email,Credit Card,0,219.34,0,257,739,3
CUST00019,19,Female,56634,East,1.2,1,85.96,Phone,Loans,0,85.96,0,134,696,3
CUST00020,41,Female,59503,North,2.1,0,72.57,App Notification,Loans,0,72.57,0,285,692,3
CUST00021,61,Male,33328,East,10.4,1,206.24,Email,Savings,0,206.24,0,236,684,2
CUST00022,47,Female,75209,West,0.3,0,113.32,Email,Credit Card,0,113.32,0,109,674,0
CUST00023,55,Male,52421,North,3.6,0,320.65,Email,Insurance,0,320.65,0,344,707,3
CUST00024,19,Male,75931,East,3.3,0,285.8,SMS,Loans,0,285.8,0,137,608,0
CUST00025,38,Female,44181,North,7.0,1,74.83,Email,Insurance,0,74.83,0,337,681,2
CUST00026,50,Female,88460,West,1.7,0,242.62,SMS,Insurance,0,242.62,0,235,727,0
CUST00027,29,Male,84752,South,1.2,1,136.46,Email,Credit Card,0,136.46,0,59,721,0
CUST00028,39,Male,55882,South,13.0,0,78.1,App Notification,Insurance,0,78.1,0,294,770,3
CUST00029,61,Male,77192,East,4.2,1,106.53,App Notification,Insurance,0,106.53,0,42,741,0
CUST00030,42,Male,71658,North,0.6,0,451.43,SMS,Loans,0,451.43,0,248,720,0
CUST00031,66,Male,99645,South,1.1,1,89.11,SMS,Insurance,0,89.11,0,50,701,1
CUST00032,44,Male,49350,South,33.7,0,67.77,Email,Loans,0,67.77,0,270,677,2
CUST00033,59,Male,66954,South,1.1,1,86.71,App Notification,Credit Card,0,86.71,0,356,725,3
CUST00034,45,Female,57186,East,4.7,0,48.32,SMS,Insurance,0,48.32,0,173,716,3
CUST00035,33,Female,70896,East,2.7,1,157.33,SMS,Loans,0,157.33,0,289,681,0
CUST00036,32,Female,80665,East,10.8,1,31.9,Email,Insurance,0,31.9,0,162,656,0
CUST00037,64,Male,56963,East,7.0,0,340.14,SMS,Loans,0,340.14,0,67,697,3
CUST00038,68,Female,62717,South,4.5,0,51.13,SMS,Loans,0,51.13,0,340,757,3
CUST00039,61,Female,89320,North,0.1,1,182.29,SMS,Credit Card,1,196.72,0,323,705,0
