customer_id,age,gender,income,region,tenure_years,received_campaign,spend_last_month,channel,product_category,responded,spend_this_month,is_high_value,days_since_last_purchase,credit_score,customer_segment,treatment_str,uplift_score,segment,pca_1,pca_2
CUST00001,56,Female,111974,North,4.5,0,616.04,Email,Loans,1,771.72,0,156,664,1,control,-0.0277777777777777,Do Not Disturbs,-2.291306788925502,-1.1229712030184231
CUST00002,69,Male,42291,South,5.7,0,171.21,Email,Loans,0,171.21,0,185,732,2,control,0.0106060606060606,Lost Causes,0.36112627094075506,0.6229655944268395
CUST00003,46,Female,70585,North,5.7,0,280.33,SMS,Loans,0,280.33,0,41,715,0,control,0.1885245901639344,Lost Causes,0.7338997898119373,0.033377774242598766
CUST00004,32,Male,78626,East,9.3,0,143.79,SMS,Loans,0,143.79,0,201,725,0,control,0.1,Lost Causes,-0.6802600831090445,0.9149035986411392
CUST00005,60,Female,64871,South,0.0,1,67.43,Email,Loans,1,221.13,0,50,719,3,treatment,0.1885245901639344,Sure Things,1.737782255176858,-0.11880052649026297
CUST00006,25,Other,43258,West,1.2,1,382.44,Email,Loans,0,382.44,0,90,665,2,treatment,0.2241379310344827,Persuadables,0.9131878527341168,-1.6209453690595919
CUST00007,38,Male,95142,South,5.5,1,181.68,Phone,Loans,0,181.68,1,237,696,1,treatment,0.1295846394984326,Persuadables,-0.5120990310878242,0.10218616341300617
CUST00008,56,Male,76738,West,11.3,1,173.21,SMS,Loans,1,225.37,0,346,607,0,treatment,0.1295846394984326,Sure Things,-0.5385284431349883,0.12875472269096896
CUST00009,36,Male,44662,West,5.8,0,215.25,SMS,Insurance,0,215.25,0,325,674,2,control,0.1042857142857143,Lost Causes,-0.04843633211434787,-0.343627744116923
CUST00010,40,Male,78773,West,2.7,1,387.59,App Notification,Savings,0,387.59,0,337,687,0,treatment,0.1295846394984326,Persuadables,-0.20196299352632024,-0.9149120587862501
CUST00011,28,Female,104031,North,2.2,1,263.28,Phone,Insurance,1,404.18,0,282,731,1,treatment,0.0106060606060606,Sure Things,-1.7399038624810856,-0.2061266535962279
CUST00012,28,Female,69273,East,6.7,1,47.43,SMS,Savings,1,193.33,0,154,725,3,treatment,0.1,Sure Things,-0.38762612212579556,0.7165257508508572
CUST00013,41,Male,69955,South,6.8,1,125.78,App Notification,Credit Card,0,125.78,0,363,662,3,treatment,0.1295846394984326,Persuadables,-0.1979013188740507,0.013344949132777556
CUST00014,53,Male,101360,South,4.7,0,785.41,Phone,Credit Card,1,827.61,0,180,661,1,control,-0.0277777777777777,Do Not Disturbs,-2.3359402335752564,-1.5939420270280045
CUST00015,57,Male,50592,South,1.7,0,161.74,App Notification,Insurance,0,161.74,0,88,765,3,control,0.174757281553398,Lost Causes,1.879137334085903,0.2783420777558703
CUST00016,41,Female,104551,West,13.0,0,556.92,Phone,Loans,1,686.85,1,105,685,1,control,-0.0277777777777777,Do Not Disturbs,-2.894296875132269,0.2646817403054512
CUST00017,20,Male,89458,South,4.0,1,335.72,Phone,Loans,0,335.72,0,73,705,0,treatment,0.0508182601205857,Persuadables,-1.6157971062842627,-0.5214725898475343
CUST00018,39,Female,51515,East,7.8,0,219.34,Email,Credit Card,0,219.34,0,257,739,3,control,-0.0821428571428571,Lost Causes,-1.6136703257846423,0.6982459837904043
CUST00019,19,Female,56634,East,1.2,1,85.96,Phone,Loans,0,85.96,0,134,696,3,treatment,0.1111111111111111,Persuadables,-0.16105500315377805,-0.5552388623296295
CUST00020,41,Female,59503,North,2.1,0,72.57,App Notification,Loans,0,72.57,0,285,692,3,control,0.1295846394984326,Lost Causes,0.4849640361321063,-0.25538151088096644
CUST00021,61,Male,33328,East,10.4,1,206.24,Email,Savings,0,206.24,0,236,684,2,treatment,0.0199999999999999,Persuadables,-0.1793369290726788,0.6171308194523959
CUST00022,47,Female,75209,West,0.3,0,113.32,Email,Credit Card,0,113.32,0,109,674,0,control,0.1295846394984326,Lost Causes,0.3294301362714829,-0.6771432609950495
CUST00023,55,Male,52421,North,3.6,0,320.65,Email,Insurance,0,320.65,0,344,707,3,control,0.1035460992907801,Lost Causes,0.5490690922713528,-0.39285363914846083
CUST00024,19,Male,75931,East,3.3,0,285.8,SMS,Loans,0,285.8,0,137,608,0,control,0.0588235294117647,Lost Causes,-1.7936950287924553,-1.52262793389351
CUST00025,38,Female,44181,North,7.0,1,74.83,Email,Insurance,0,74.83,0,337,681,2,treatment,0.0199999999999999,Persuadables,-0.709455970190101,0.2799806800310815
